code,area,median_salary,mean_salary,population_size,area_size,no_of_houses
E09000001,city of london,61203,90028,8706,315,6451
E09000002,barking and dagenham,29995,32671,211998,3780,74923
E09000003,barnet,29927,36776,392140,8675,150737
E09000004,bexley,30733,34496,247258,6429,97905
E09000005,brent,30366,35830,330795,4323,118707
E09000006,bromley,30762,35201,331096,15013,138976
E09000007,camden,39198,46502,262226,2179,104771
E09000008,croydon,33804,36880,385346,8650,159470
E09000009,ealing,29928,36304,341982,5554,133551
E09000010,enfield,29238,37030,333869,8220,125755
E09000011,greenwich,33163,36288,286186,5044,112884
E09000012,hackney,35286,40439,279665,1905,110037
E09000013,hammersmith and fulham,40972,44781,185426,1715,88140
E09000014,haringey,29801,34178,270624,2960,108820
E09000015,harrow,30553,35325,250149,5046,90680
E09000016,havering,30181,34484,257810,11446,101993
E09000017,hillingdon,31886,39670,304824,11570,109777
E09000018,hounslow,35935,46102,270782,5659,100735
E09000019,islington,40000,53489,239142,1486,102824
E09000020,kensington and chelsea,32976,42099,156197,1238,87611
E09000021,kingston upon thames,31308,36282,175470,3726,67141
E09000022,lambeth,36200,44814,325917,2725,140288
E09000023,lewisham,29966,33493,303536,3532,126487
E09000024,merton,31182,35907,206186,3762,84297
E09000025,newham,30392,37849,352005,3857,114474
E09000026,redbridge,29189,31990,303858,5644,103924
E09000027,richmond upon thames,34027,40427,196904,5876,85141
E09000028,southwark,39998,48333,317256,2991,132970
E09000029,sutton,28853,32442,204525,4385,82978
E09000030,tower hamlets,49237,69806,317705,2158,120015
E09000031,waltham forest,30298,32875,276700,3881,103029
E09000032,wandsworth,34501,45317,326474,3522,146162
E09000033,westminster,43015,63792,255324,2203,124509
